Invoice_ID,Sale_Date,Year,Month,Company,Car_Model,Engine_CC,Fuel_Type,Horsepower_HP,Top_Speed_KMH,Seats,City,Salesperson,Quantity,Unit_Price_INR,GST_Percent,GST_Amount_INR,Total_Amount_INR
INV10022,13-01-2024,2024,January,Mahindra,Thar,2184,Diesel,130,155,4,Pune,Neha,1,1857412,28,520075.36,2377487.36
INV10023,13-01-2024,2024,January,Mahindra,Thar,2184,Diesel,130,155,4,Delhi,Karan,2,1727942,28,967647.52,4423531.52
INV10024,13-01-2024,2024,January,Mahindra,Thar,2184,Diesel,130,155,4,Delhi,Riya,2,1762451,28,986972.56,4511874.56
INV10025,13-01-2024,2024,January,Mahindra,Thar,2184,Diesel,130,155,4,Bangalore,Rahul,2,1834993,28,1027596.08,4697582.08
INV10026,14-01-2024,2024,January,BMW,X5,2998,Petrol,335,243,5,Hyderabad,Karan,1,9764019,28,2733925.32,12497944.32
INV10027,14-01-2024,2024,January,Mahindra,Thar,2184,Diesel,130,155,4,Pune,Sneha,1,1690306,28,473285.68,2163591.68
INV10028,14-01-2024,2024,January,Mahindra,Thar,2184,Diesel,130,155,4,Mumbai,Priya,1,1797458,28,503288.24,2300746.24
INV10029,14-01-2024,2024,January,Toyota,Fortuner,2755,Diesel,201,190,7,Delhi,Rahul,1,4448774,28,1245656.72,5694430.72
INV10030,15-01-2024,2024,January,BMW,X5,2998,Petrol,335,243,5,Chennai,Sneha,2,9726653,28,5446925.68,24900231.68
INV10031,15-01-2024,2024,January,BMW,X5,2998,Petrol,335,243,5,Hyderabad,Karan,2,9659186,28,5409144.16,24727516.16
INV10032,15-01-2024,2024,January,Toyota,Fortuner,2755,Diesel,201,190,7,Bangalore,Priya,1,4179973,28,1170392.44,5350365.44
INV10033,16-01-2024,2024,January,Mahindra,Thar,2184,Diesel,130,155,4,Bangalore,Amit,1,1808512,28,506383.36,2314895.36
INV10034,16-01-2024,2024,January,Mahindra,Thar,2184,Diesel,130,155,4,Mumbai,Amit,1,1620031,28,453608.68,2073639.68
INV10035,17-01-2024,2024,January,Mahindra,Thar,2184,Diesel,130,155,4,Surat,Sneha,1,1646002,28,460880.56,2106882.56
INV10036,17-01-2024,2024,January,BMW,X5,2998,Petrol,335,243,5,Surat,Arjun,2,9577400,28,5363344,24518144
INV10037,18-01-2024,2024,January,Mahindra,Thar,2184,Diesel,130,155,4,Chennai,Neha,1,1845496,28,516738.88,2362234.88
INV10038,19-01-2024,2024,January,Toyota,Fortuner,2755,Diesel,201,190,7,Ahmedabad,Priya,2,4432245,28,2482057.2,11346547.2
INV10039,19-01-2024,2024,January,Mahindra,Thar,2184,Diesel,130,155,4,Hyderabad,Priya,2,1881793,28,1053804.08,4817390.08
INV10040,19-01-2024,2024,January,BMW,X5,2998,Petrol,335,243,5,Surat,Rahul,1,9549724,28,2673922.72,12223646.72
INV10041,20-01-2024,2024,January,BMW,X5,2998,Petrol,335,243,5,Bangalore,Priya,2,9692550,28,5427828,24812928
INV10042,20-01-2024,2024,January,Toyota,Fortuner,2755,Diesel,201,190,7,Ahmedabad,Priya,1,4076522,28,1141426.16,5217948.16
INV10043,20-01-2024,2024,January,BMW,X5,2998,Petrol,335,243,5,Surat,Karan,1,9663078,28,2705661.84,12368739.84
INV10044,20-01-2024,2024,January,BMW,X5,2998,Petrol,335,243,5,Delhi,Arjun,2,9480741,28,5309214.96,24270696.96
INV10045,20-01-2024,2024,January,Mahindra,Thar,2184,Diesel,130,155,4,Surat,Vikas,2,1639042,28,917863.52,4195947.52
INV10046,21-01-2024,2024,January,Toyota,Fortuner,2755,Diesel,201,190,7,Pune,Sneha,1,4149561,28,1161877.08,5311438.08
INV10047,21-01-2024,2024,January,Mahindra,Thar,2184,Diesel,130,155,4,Hyderabad,Amit,1,1892154,28,529803.12,2421957.12
INV10048,21-01-2024,2024,January,Mahindra,Thar,2184,Diesel,130,155,4,Delhi,Amit,2,1763638,28,987637.28,4514913.28
INV10049,21-01-2024,2024,January,Mahindra,Thar,2184,Diesel,130,155,4,Mumbai,Sneha,1,1535924,28,430058.72,1965982.72
INV10050,21-01-2024,2024,January,Toyota,Fortuner,2755,Diesel,201,190,7,Bangalore,Mehul,1,4348673,28,1217628.44,5566301.44
INV10051,24-01-2024,2024,January,Mercedes,C-Class,1999,Petrol,255,250,5,Hyderabad,Sneha,2,6057090,28,3391970.4,15506150.4
INV10052,24-01-2024,2024,January,Mercedes,C-Class,1999,Petrol,255,250,5,Pune,Karan,2,6018617,28,3370425.52,15407659.52
INV10053,24-01-2024,2024,January,Mercedes,C-Class,1999,Petrol,255,250,5,Surat,Mehul,1,5954883,28,1667367.24,7622250.24
INV10054,27-01-2024,2024,January,Mercedes,C-Class,1999,Petrol,255,250,5,Mumbai,Sneha,1,6132981,28,1717234.68,7850215.68
INV10055,27-01-2024,2024,January,Mercedes,C-Class,1999,Petrol,255,250,5,Surat,Riya,2,6032704,28,3378314.24,15443722.24
INV10056,27-01-2024,2024,January,Mercedes,C-Class,1999,Petrol,255,250,5,Pune,Priya,1,6300152,28,1764042.56,8064194.56
INV10057,28-01-2024,2024,January,Mercedes,C-Class,1999,Petrol,255,250,5,Delhi,Vikas,1,6006117,28,1681712.76,7687829.76
INV10058,28-01-2024,2024,January,Mercedes,C-Class,1999,Petrol,255,250,5,Hyderabad,Sneha,1,6326235,28,1771345.8,8097580.8
INV10059,28-01-2024,2024,January,Mercedes,C-Class,1999,Petrol,255,250,5,Ahmedabad,Priya,2,6081659,28,3405729.04,15569047.04
INV10060,29-01-2024,2024,January,Mercedes,C-Class,1999,Petrol,255,250,5,Hyderabad,Rahul,1,5951858,28,1666520.24,7618378.24
INV10061,29-01-2024,2024,January,Mercedes,C-Class,1999,Petrol,255,250,5,Surat,Riya,1,6338618,28,1774813.04,8113431.04
INV10062,29-01-2024,2024,January,Toyota,Fortuner,2755,Diesel,201,190,7,Mumbai,Rahul,1,4108654,28,1150423.12,5259077.12
INV10063,31-01-2024,2024,January,BMW,X5,2998,Petrol,335,243,5,Ahmedabad,Vikas,2,9516818,28,5329418.08,24363054.08
INV10064,31-01-2024,2024,January,Mercedes,C-Class,1999,Petrol,255,250,5,Bangalore,Sneha,1,6137595,28,1718526.6,7856121.6
INV10065,02-02-2024,2024,February,Toyota,Fortuner,2755,Diesel,201,190,7,Delhi,Rahul,1,4174118,28,1168753.04,5342871.04
INV10066,02-02-2024,2024,February,Toyota,Fortuner,2755,Diesel,201,190,7,Hyderabad,Arjun,1,4144036,28,1160330.08,5304366.08
INV10067,03-02-2024,2024,February,Mercedes,C-Class,1999,Petrol,255,250,5,Mumbai,Arjun,1,6317671,28,1768947.88,8086618.88
INV10068,03-02-2024,2024,February,Mahindra,Thar,2184,Diesel,130,155,4,Bangalore,Karan,2,1616619,28,905306.64,4138544.64
INV10069,03-02-2024,2024,February,Mercedes,C-Class,1999,Petrol,255,250,5,Bangalore,Amit,2,6069325,28,3398822,15537472
INV10070,04-02-2024,2024,February,Toyota,Fortuner,2755,Diesel,201,190,7,Mumbai,Vikas,2,4196068,28,2349798.08,10741934.08
INV10071,04-02-2024,2024,February,Mercedes,C-Class,1999,Petrol,255,250,5,Hyderabad,Amit,2,6306263,28,3531507.28,16144033.28
INV10072,04-02-2024,2024,February,Mahindra,Thar,2184,Diesel,130,155,4,Pune,Amit,2,1593620,28,892427.2,4079667.2
INV10073,06-02-2024,2024,February,Mercedes,C-Class,1999,Petrol,255,250,5,Mumbai,Arjun,2,6178796,28,3460125.76,15817717.76
INV10074,06-02-2024,2024,February,BMW,X5,2998,Petrol,335,243,5,Chennai,Amit,2,9473271,28,5305031.76,24251573.76
INV10075,06-02-2024,2024,February,BMW,X5,2998,Petrol,335,243,5,Mumbai,Neha,2,9676124,28,5418629.44,24770877.44
INV10076,07-02-2024,2024,February,Mahindra,Thar,2184,Diesel,130,155,4,Pune,Arjun,2,1765878,28,988891.68,4520647.68
INV10077,07-02-2024,2024,February,Mercedes,C-Class,1999,Petrol,255,250,5,Pune,Riya,2,6315538,28,3536701.28,16167777.28
INV10078,08-02-2024,2024,February,BMW,X5,2998,Petrol,335,243,5,Chennai,Rahul,2,9798614,28,5487223.84,25084451.84
INV10079,09-02-2024,2024,February,Toyota,Fortuner,2755,Diesel,201,190,7,Pune,Sneha,1,4209317,28,1178608.76,5387925.76
INV10080,09-02-2024,2024,February,Toyota,Fortuner,2755,Diesel,201,190,7,Surat,Karan,2,4293787,28,2404520.72,10992094.72
INV10081,10-02-2024,2024,February,Toyota,Fortuner,2755,Diesel,201,190,7,Mumbai,Vikas,1,4395427,28,1230719.56,5626146.56
INV10082,10-02-2024,2024,February,Mercedes,C-Class,1999,Petrol,255,250,5,Bangalore,Vikas,1,6343812,28,1776267.36,8120079.36
INV10083,10-02-2024,2024,February,BMW,X5,2998,Petrol,335,243,5,Ahmedabad,Amit,1,9527255,28,2667631.4,12194886.4
INV10084,11-02-2024,2024,February,Toyota,Fortuner,2755,Diesel,201,190,7,Chennai,Mehul,1,4288769,28,1200855.32,5489624.32
INV10085,11-02-2024,2024,February,BMW,X5,2998,Petrol,335,243,5,Chennai,Sneha,2,9709196,28,5437149.76,24855541.76
INV10086,11-02-2024,2024,February,BMW,X5,2998,Petrol,335,243,5,Mumbai,Arjun,1,9843721,28,2756241.88,12599962.88
INV10087,12-02-2024,2024,February,BMW,X5,2998,Petrol,335,243,5,Bangalore,Priya,2,9476328,28,5306743.68,24259399.68
INV10088,13-02-2024,2024,February,BMW,X5,2998,Petrol,335,243,5,Hyderabad,Karan,2,9800002,28,5488001.12,25088005.12
INV10089,13-02-2024,2024,February,Toyota,Fortuner,2755,Diesel,201,190,7,Surat,Karan,2,4133444,28,2314728.64,10581616.64
INV10090,13-02-2024,2024,February,Mercedes,C-Class,1999,Petrol,255,250,5,Pune,Riya,1,6284318,28,1759609.04,8043927.04
INV10091,14-02-2024,2024,February,BMW,X5,2998,Petrol,335,243,5,Mumbai,Vikas,2,9680619,28,5421146.64,24782384.64
INV10092,14-02-2024,2024,February,BMW,X5,2998,Petrol,335,243,5,Hyderabad,Riya,2,9626080,28,5390604.8,24642764.8
INV10093,14-02-2024,2024,February,Mahindra,Thar,2184,Diesel,130,155,4,Bangalore,Arjun,1,1579078,28,442141.84,2021219.84
INV10094,15-02-2024,2024,February,BMW,X5,2998,Petrol,335,243,5,Chennai,Neha,1,9667510,28,2706902.8,12374412.8
INV10095,16-02-2024,2024,February,Toyota,Fortuner,2755,Diesel,201,190,7,Chennai,Arjun,1,4158440,28,1164363.2,5322803.2
INV10096,16-02-2024,2024,February,Mahindra,Thar,2184,Diesel,130,155,4,Ahmedabad,Neha,2,1750074,28,980041.44,4480189.44
INV10097,16-02-2024,2024,February,Mercedes,C-Class,1999,Petrol,255,250,5,Bangalore,Karan,2,6169687,28,3455024.72,15794398.72
INV10098,17-02-2024,2024,February,Mercedes,C-Class,1999,Petrol,255,250,5,Ahmedabad,Arjun,2,6204616,28,3474584.96,15883816.96
INV10099,17-02-2024,2024,February,Mercedes,C-Class,1999,Petrol,255,250,5,Delhi,Karan,2,6329679,28,3544620.24,16203978.24
INV10100,17-02-2024,2024,February,BMW,X5,2998,Petrol,335,243,5,Ahmedabad,Priya,1,9656580,28,2703842.4,12360422.4
INV10101,18-02-2024,2024,February,BMW,X5,2998,Petrol,335,243,5,Ahmedabad,Vikas,2,9545278,28,5345355.68,24435911.68
INV10102,18-02-2024,2024,February,Toyota,Fortuner,2755,Diesel,201,190,7,Surat,Neha,2,4160970,28,2330143.2,10652083.2
INV10103,18-02-2024,2024,February,Mercedes,C-Class,1999,Petrol,255,250,5,Chennai,Vikas,2,6095886,28,3413696.16,15605468.16
INV10104,18-02-2024,2024,February,Mahindra,Thar,2184,Diesel,130,155,4,Ahmedabad,Neha,2,1510162,28,845690.72,3866014.72
INV10105,18-02-2024,2024,February,BMW,X5,2998,Petrol,335,243,5,Ahmedabad,Amit,1,9791707,28,2741677.96,12533384.96
INV10106,19-02-2024,2024,February,BMW,X5,2998,Petrol,335,243,5,Delhi,Sneha,1,9775758,28,2737212.24,12512970.24
INV10107,20-02-2024,2024,February,Toyota,Fortuner,2755,Diesel,201,190,7,Bangalore,Karan,1,4345682,28,1216790.96,5562472.96
INV10108,21-02-2024,2024,February,Mercedes,C-Class,1999,Petrol,255,250,5,Mumbai,Rahul,1,6267662,28,1754945.36,8022607.36
INV10109,21-02-2024,2024,February,Mercedes,C-Class,1999,Petrol,255,250,5,Ahmedabad,Vikas,1,6253397,28,1750951.16,8004348.16
INV10110,22-02-2024,2024,February,Toyota,Fortuner,2755,Diesel,201,190,7,Bangalore,Priya,1,4089844,28,1145156.32,5235000.32
INV10111,22-02-2024,2024,February,Mercedes,C-Class,1999,Petrol,255,250,5,Ahmedabad,Neha,1,6246711,28,1749079.08,7995790.08
INV10112,22-02-2024,2024,February,Toyota,Fortuner,2755,Diesel,201,190,7,Hyderabad,Amit,2,4086153,28,2288245.68,10460551.68
INV10113,23-02-2024,2024,February,Toyota,Fortuner,2755,Diesel,201,190,7,Hyderabad,Karan,1,4277291,28,1197641.48,5474932.48
INV10114,23-02-2024,2024,February,BMW,X5,2998,Petrol,335,243,5,Pune,Mehul,2,9542346,28,5343713.76,24428405.76
INV10115,23-02-2024,2024,February,Toyota,Fortuner,2755,Diesel,201,190,7,Pune,Neha,2,4278366,28,2395884.96,10952616.96
INV10116,24-02-2024,2024,February,Mahindra,Thar,2184,Diesel,130,155,4,Bangalore,Karan,2,1736350,28,972356,4445056
INV10117,24-02-2024,2024,February,Toyota,Fortuner,2755,Diesel,201,190,7,Surat,Neha,2,4065047,28,2276426.32,10406520.32
INV10118,24-02-2024,2024,February,BMW,X5,2998,Petrol,335,243,5,Hyderabad,Vikas,2,9561211,28,5354278.16,24476700.16
INV10119,25-02-2024,2024,February,Mercedes,C-Class,1999,Petrol,255,250,5,Ahmedabad,Riya,2,6241394,28,3495180.64,15977968.64
INV10120,25-02-2024,2024,February,BMW,X5,2998,Petrol,335,243,5,Chennai,Karan,1,9576540,28,2681431.2,12257971.2
INV10121,25-02-2024,2024,February,BMW,X5,2998,Petrol,335,243,5,Surat,Karan,2,9788639,28,5481637.84,25058915.84
INV10122,25-02-2024,2024,February,Mahindra,Thar,2184,Diesel,130,155,4,Bangalore,Arjun,1,1654264,28,463193.92,2117457.92
INV10123,26-02-2024,2024,February,Mercedes,C-Class,1999,Petrol,255,250,5,Hyderabad,Arjun,2,6198124,28,3470949.44,15867197.44
INV10124,27-02-2024,2024,February,Mercedes,C-Class,1999,Petrol,255,250,5,Pune,Vikas,2,6092038,28,3411541.28,15595617.28
INV10125,27-02-2024,2024,February,BMW,X5,2998,Petrol,335,243,5,Bangalore,Neha,1,9828160,28,2751884.8,12580044.8
INV10126,29-02-2024,2024,February,BMW,X5,2998,Petrol,335,243,5,Surat,Vikas,1,9837241,28,2754427.48,12591668.48
INV10127,01-03-2024,2024,March,Mahindra,Thar,2184,Diesel,130,155,4,Bangalore,Neha,1,1655318,28,463489.04,2118807.04
INV10128,01-03-2024,2024,March,BMW,X5,2998,Petrol,335,243,5,Delhi,Vikas,2,9457417,28,5296153.52,24210987.52
INV10129,02-03-2024,2024,March,Mahindra,Thar,2184,Diesel,130,155,4,Delhi,Karan,2,1865647,28,1044762.32,4776056.32
INV10130,02-03-2024,2024,March,Mahindra,Thar,2184,Diesel,130,155,4,Pune,Karan,1,1800974,28,504272.72,2305246.72
INV10131,03-03-2024,2024,March,Toyota,Fortuner,2755,Diesel,201,190,7,Ahmedabad,Vikas,2,4146659,28,2322129.04,10615447.04
INV10132,03-03-2024,2024,March,Toyota,Fortuner,2755,Diesel,201,190,7,Chennai,Karan,1,4084258,28,1143592.24,5227850.24
INV10133,03-03-2024,2024,March,Mahindra,Thar,2184,Diesel,130,155,4,Delhi,Mehul,1,1579548,28,442273.44,2021821.44
INV10134,03-03-2024,2024,March,Mercedes,C-Class,1999,Petrol,255,250,5,Mumbai,Riya,1,6080123,28,1702434.44,7782557.44
INV10135,03-03-2024,2024,March,Toyota,Fortuner,2755,Diesel,201,190,7,Chennai,Karan,1,4323978,28,1210713.84,5534691.84
INV10136,04-03-2024,2024,March,Mercedes,C-Class,1999,Petrol,255,250,5,Ahmedabad,Mehul,2,6110107,28,3421659.92,15641873.92
INV10137,04-03-2024,2024,March,Mahindra,Thar,2184,Diesel,130,155,4,Bangalore,Vikas,1,1827950,28,511826,2339776
INV10138,04-03-2024,2024,March,Mahindra,Thar,2184,Diesel,130,155,4,Delhi,Riya,1,1625758,28,455212.24,2080970.24
INV10139,06-03-2024,2024,March,Mahindra,Thar,2184,Diesel,130,155,4,Surat,Vikas,2,1736193,28,972268.08,4444654.08
INV10140,08-03-2024,2024,March,Mercedes,C-Class,1999,Petrol,255,250,5,Surat,Priya,2,6318567,28,3538397.52,16175531.52
INV10141,09-03-2024,2024,March,Mercedes,C-Class,1999,Petrol,255,250,5,Mumbai,Riya,1,6172895,28,1728410.6,7901305.6
INV10142,09-03-2024,2024,March,BMW,X5,2998,Petrol,335,243,5,Delhi,Priya,1,9589267,28,2684994.76,12274261.76
INV10143,09-03-2024,2024,March,Mahindra,Thar,2184,Diesel,130,155,4,Pune,Karan,1,1661277,28,465157.56,2126434.56
INV10144,10-03-2024,2024,March,Toyota,Fortuner,2755,Diesel,201,190,7,Chennai,Vikas,2,4416861,28,2473442.16,11307164.16
INV10145,10-03-2024,2024,March,Toyota,Fortuner,2755,Diesel,201,190,7,Ahmedabad,Arjun,2,4092174,28,2291617.44,10475965.44
INV10146,11-03-2024,2024,March,Mercedes,C-Class,1999,Petrol,255,250,5,Bangalore,Mehul,1,5997881,28,1679406.68,7677287.68
INV10147,11-03-2024,2024,March,Mahindra,Thar,2184,Diesel,130,155,4,Ahmedabad,Rahul,2,1802119,28,1009186.64,4613424.64
INV10148,12-03-2024,2024,March,Toyota,Fortuner,2755,Diesel,201,190,7,Chennai,Karan,2,4145152,28,2321285.12,10611589.12
INV10149,12-03-2024,2024,March,Mahindra,Thar,2184,Diesel,130,155,4,Chennai,Neha,2,1682431,28,942161.36,4307023.36
INV10150,12-03-2024,2024,March,Mercedes,C-Class,1999,Petrol,255,250,5,Hyderabad,Arjun,1,6034318,28,1689609.04,7723927.04
INV10151,13-03-2024,2024,March,Mercedes,C-Class,1999,Petrol,255,250,5,Ahmedabad,Karan,2,6348720,28,3555283.2,16252723.2
INV10152,13-03-2024,2024,March,Mahindra,Thar,2184,Diesel,130,155,4,Hyderabad,Priya,2,1632329,28,914104.24,4178762.24
INV10153,13-03-2024,2024,March,Toyota,Fortuner,2755,Diesel,201,190,7,Surat,Arjun,1,4394803,28,1230544.84,5625347.84
INV10154,15-03-2024,2024,March,Mercedes,C-Class,1999,Petrol,255,250,5,Surat,Amit,2,6277894,28,3515620.64,16071408.64
INV10155,16-03-2024,2024,March,Mercedes,C-Class,1999,Petrol,255,250,5,Surat,Karan,1,6101010,28,1708282.8,7809292.8
INV10156,16-03-2024,2024,March,Mahindra,Thar,2184,Diesel,130,155,4,Bangalore,Rahul,1,1830313,28,512487.64,2342800.64
INV10157,16-03-2024,2024,March,Mercedes,C-Class,1999,Petrol,255,250,5,Chennai,Priya,1,6239538,28,1747070.64,7986608.64
INV10158,17-03-2024,2024,March,Mahindra,Thar,2184,Diesel,130,155,4,Delhi,Karan,2,1561586,28,874488.16,3997660.16
INV10159,17-03-2024,2024,March,Mercedes,C-Class,1999,Petrol,255,250,5,Surat,Karan,2,6167836,28,3453988.16,15789660.16
INV10160,17-03-2024,2024,March,BMW,X5,2998,Petrol,335,243,5,Delhi,Arjun,2,9739021,28,5453851.76,24931893.76
INV10161,18-03-2024,2024,March,BMW,X5,2998,Petrol,335,243,5,Chennai,Neha,1,9594833,28,2686553.24,12281386.24
INV10162,19-03-2024,2024,March,Mahindra,Thar,2184,Diesel,130,155,4,Pune,Mehul,2,1880659,28,1053169.04,4814487.04
INV10163,19-03-2024,2024,March,Toyota,Fortuner,2755,Diesel,201,190,7,Surat,Neha,1,4284119,28,1199553.32,5483672.32
INV10164,20-03-2024,2024,March,Toyota,Fortuner,2755,Diesel,201,190,7,Bangalore,Sneha,2,4218704,28,2362474.24,10799882.24
INV10165,20-03-2024,2024,March,Toyota,Fortuner,2755,Diesel,201,190,7,Ahmedabad,Neha,1,4265364,28,1194301.92,5459665.92
INV10166,21-03-2024,2024,March,Toyota,Fortuner,2755,Diesel,201,190,7,Delhi,Karan,2,4397964,28,2462859.84,11258787.84
INV10167,21-03-2024,2024,March,Mahindra,Thar,2184,Diesel,130,155,4,Hyderabad,Priya,1,1763345,28,493736.6,2257081.6
INV10168,21-03-2024,2024,March,Toyota,Fortuner,2755,Diesel,201,190,7,Surat,Amit,1,4325749,28,1211209.72,5536958.72
INV10169,22-03-2024,2024,March,Toyota,Fortuner,2755,Diesel,201,190,7,Surat,Vikas,1,4089231,28,1144984.68,5234215.68
INV10170,23-03-2024,2024,March,Toyota,Fortuner,2755,Diesel,201,190,7,Chennai,Neha,1,4222262,28,1182233.36,5404495.36
INV10171,23-03-2024,2024,March,Toyota,Fortuner,2755,Diesel,201,190,7,Mumbai,Sneha,1,4373726,28,1224643.28,5598369.28
INV10172,23-03-2024,2024,March,Mercedes,C-Class,1999,Petrol,255,250,5,Mumbai,Arjun,1,6341520,28,1775625.6,8117145.6
INV10173,23-03-2024,2024,March,Mahindra,Thar,2184,Diesel,130,155,4,Delhi,Vikas,1,1732615,28,485132.2,2217747.2
INV10174,24-03-2024,2024,March,Mahindra,Thar,2184,Diesel,130,155,4,Pune,Neha,2,1529422,28,856476.32,3915320.32
INV10175,24-03-2024,2024,March,Mercedes,C-Class,1999,Petrol,255,250,5,Bangalore,Riya,2,6026320,28,3374739.2,15427379.2
INV10176,25-03-2024,2024,March,BMW,X5,2998,Petrol,335,243,5,Mumbai,Mehul,1,9541786,28,2671700.08,12213486.08
INV10177,25-03-2024,2024,March,Toyota,Fortuner,2755,Diesel,201,190,7,Delhi,Sneha,1,4310920,28,1207057.6,5517977.6
INV10178,25-03-2024,2024,March,Toyota,Fortuner,2755,Diesel,201,190,7,Pune,Amit,2,4290947,28,2402930.32,10984824.32
INV10179,26-03-2024,2024,March,Mercedes,C-Class,1999,Petrol,255,250,5,Surat,Neha,1,5988724,28,1676842.72,7665566.72
INV10180,26-03-2024,2024,March,Mercedes,C-Class,1999,Petrol,255,250,5,Pune,Karan,2,6311923,28,3534676.88,16158522.88
INV10181,26-03-2024,2024,March,Mercedes,C-Class,1999,Petrol,255,250,5,Surat,Priya,1,6151690,28,1722473.2,7874163.2
INV10182,27-03-2024,2024,March,Toyota,Fortuner,2755,Diesel,201,190,7,Pune,Vikas,2,4351366,28,2436764.96,11139496.96
INV10183,29-03-2024,2024,March,Mercedes,C-Class,1999,Petrol,255,250,5,Ahmedabad,Mehul,1,6246709,28,1749078.52,7995787.52
INV10184,29-03-2024,2024,March,Toyota,Fortuner,2755,Diesel,201,190,7,Hyderabad,Sneha,2,4170648,28,2335562.88,10676858.88
INV10185,29-03-2024,2024,March,BMW,X5,2998,Petrol,335,243,5,Delhi,Priya,2,9805343,28,5490992.08,25101678.08
INV10186,30-03-2024,2024,March,Mercedes,C-Class,1999,Petrol,255,250,5,Hyderabad,Rahul,2,5967492,28,3341795.52,15276779.52
INV10187,30-03-2024,2024,March,Mahindra,Thar,2184,Diesel,130,155,4,Chennai,Rahul,2,1671294,28,935924.64,4278512.64
INV10188,31-03-2024,2024,March,BMW,X5,2998,Petrol,335,243,5,Pune,Rahul,2,9728319,28,5447858.64,24904496.64
INV10189,31-03-2024,2024,March,Mercedes,C-Class,1999,Petrol,255,250,5,Hyderabad,Priya,2,6104739,28,3418653.84,15628131.84
INV10190,31-03-2024,2024,March,Toyota,Fortuner,2755,Diesel,201,190,7,Bangalore,Arjun,1,4123797,28,1154663.16,5278460.16
INV10191,01-04-2024,2024,April,Mahindra,Thar,2184,Diesel,130,155,4,Pune,Riya,2,1507297,28,844086.32,3858680.32
INV10192,01-04-2024,2024,April,Mahindra,Thar,2184,Diesel,130,155,4,Pune,Mehul,2,1693245,28,948217.2,4334707.2
INV10193,02-04-2024,2024,April,Mercedes,C-Class,1999,Petrol,255,250,5,Bangalore,Karan,1,6303808,28,1765066.24,8068874.24
INV10194,02-04-2024,2024,April,Mahindra,Thar,2184,Diesel,130,155,4,Bangalore,Priya,2,1819858,28,1019120.48,4658836.48
INV10195,02-04-2024,2024,April,Toyota,Fortuner,2755,Diesel,201,190,7,Chennai,Priya,2,4390388,28,2458617.28,11239393.28
